Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number in Cohort,Number Graduated,Percent Graduated in 4 Years
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,All,60,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,American Indian or Alaska Native,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Asian,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Black/African American,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,English Learners,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,ELFEP14,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Female,31,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Hispanic or Latino,12,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Income Eligibility 1 & 2,14,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Male,29,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Multiple Races,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Special Education,*,*,*
2023,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,White,38,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,All,14,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,American Indian or Alaska Native,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Female,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Hispanic or Latino,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Income Eligibility 1 & 2,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Male,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Multiple Races,*,*,*
2023,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,White,*,*,*
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,All,149,125,83.9
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,American Indian or Alaska Native,141,124,87.9
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,English Learners,*,*,*
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,ELFEP14,*,*,*
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Female,75,63,84
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Male,74,62,83.8
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Special Education,19,*,*
2023,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,White,*,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,All,85,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,English Learners,*,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,ELFEP14,*,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Female,39,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Hispanic or Latino,28,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Income Eligibility 1 & 2,18,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Male,46,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Multiple Races,*,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Special Education,*,*,*
2023,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,White,48,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,All,30,17,56.7
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,American Indian or Alaska Native,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,English Learners,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,ELFEP14,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Female,14,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Hispanic or Latino,13,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Income Eligibility 1 & 2,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Male,16,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Multiple Races,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Special Education,*,*,*
2023,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,White,13,*,*
2023,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,All,52,*,*
