Cohort Year,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2019,4158,Chinle Unified District,4737,Chinle High School,Apache,All,180,247,72.87
2019,4158,Chinle Unified District,4737,Chinle High School,Apache,Male,78,118,66.1
2019,4158,Chinle Unified District,4737,Chinle High School,Apache,Female,102,129,79.07
2019,4157,Ganado Unified School District,4728,Ganado High School,Apache,All,85,108,78.7
2019,4157,Ganado Unified School District,4728,Ganado High School,Apache,Male,29,44,65.91
2019,4157,Ganado Unified School District,4728,Ganado High School,Apache,Female,56,64,87.5
2019,4157,Ganado Unified School District,4728,Ganado High School,Apache,Hispanic or Latino,*,*,*
2019,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,All,40,51,78.43
2019,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Female,16,20,80
2019,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Male,24,31,77.42
2019,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Male,*,*,*
2019,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Female,*,*,*
2019,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,All,*,*,*
2019,4155,Round Valley Unified District,4721,Round Valley High School,Apache,All,75,80,93.75
2019,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Male,43,47,91.49
2019,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Hispanic or Latino,20,21,95.24
2019,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Female,32,33,96.97
2019,4155,Round Valley Unified District,92686,White Mountain Academy,Apache,All,*,*,31.25
2019,4155,Round Valley Unified District,92686,White Mountain Academy,Apache,Female,*,*,*
2019,4155,Round Valley Unified District,92686,White Mountain Academy,Apache,Hispanic or Latino,*,*,*
2019,4155,Round Valley Unified District,92686,White Mountain Academy,Apache,Male,*,*,*
2019,4156,Sanders Unified District,4724,Valley High School,Apache,All,26,39,66.67
2019,4156,Sanders Unified District,4724,Valley High School,Apache,Hispanic or Latino,*,*,*
2019,4156,Sanders Unified District,4724,Valley High School,Apache,Male,14,21,66.67
2019,4156,Sanders Unified District,4724,Valley High School,Apache,Female,12,18,66.67
2019,4153,St Johns Unified District,4711,St Johns High School,Apache,All,49,52,94.23
2019,4153,St Johns Unified District,4711,St Johns High School,Apache,Female,29,32,90.63
2019,4153,St Johns Unified District,4711,St Johns High School,Apache,Male,20,20,100
2019,4153,St Johns Unified District,4711,St Johns High School,Apache,Hispanic or Latino,12,13,92.31
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,All,*,*,< 2%
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Female,*,*,*
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Hispanic or Latino,*,*,*
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Male,*,*,*
2019,4154,Window Rock Unified District,4717,Window Rock High School,Apache,All,122,149,81.88
2019,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Male,58,75,77.33
2019,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Female,64,74,86.49
2019,79226,Benson Unified School District,4799,Benson High School,Cochise,All,75,77,97.4
2019,79226,Benson Unified School District,4799,Benson High School,Cochise,Male,40,41,97.56
2019,79226,Benson Unified School District,4799,Benson High School,Cochise,Female,35,36,97.22
2019,79226,Benson Unified School District,4799,Benson High School,Cochise,Hispanic or Latino,16,16,100
2019,79226,Benson Unified School District,85879,San Pedro Valley High School,Cochise,Female,*,*,*
2019,79226,Benson Unified School District,85879,San Pedro Valley High School,Cochise,All,*,*,71.43
2019,79226,Benson Unified School District,85879,San Pedro Valley High School,Cochise,Male,*,*,*
2019,79226,Benson Unified School District,85879,San Pedro Valley High School,Cochise,Hispanic or Latino,*,*,*
2019,79226,Benson Unified School District,90775,San Pedro Valley Online Academy,Cochise,All,*,*,*
2019,79226,Benson Unified School District,90775,San Pedro Valley Online Academy,Cochise,Hispanic or Latino,*,*,*
2019,79226,Benson Unified School District,90775,San Pedro Valley Online Academy,Cochise,Female,*,*,*
2019,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,All,62,73,84.93
2019,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Male,31,37,83.78
2019,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Female,31,36,86.11
2019,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Hispanic or Latino,41,50,82
2019,4171,Bowie Unified District,4759,Bowie High School,Cochise,All,*,*,*
2019,4171,Bowie Unified District,4759,Bowie High School,Cochise,Hispanic or Latino,*,*,*
2019,4171,Bowie Unified District,4759,Bowie High School,Cochise,Male,*,*,*
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Cochise,Male,*,*,*
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Cochise,All,31,41,75.61
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Cochise,Female,24,31,77.42
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Cochise,Hispanic or Latino,11,15,73.33
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Cochise,All,25,26,96.15
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Cochise,Female,15,15,100
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Cochise,Hispanic or Latino,25,26,96.15
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Cochise,Male,*,*,90.91
2019,81027,Cochise Community Development Corporation,81028,Bereran Academy,Cochise,All,22,26,84.62
2019,81027,Cochise Community Development Corporation,81028,Bereran Academy,Cochise,Female,11,12,91.67
2019,81027,Cochise Community Development Corporation,81028,Bereran Academy,Cochise,Male,11,14,78.57
2019,81027,Cochise Community Development Corporation,81028,Bereran Academy,Cochise,Hispanic or Latino,*,*,*
2019,4174,Douglas Unified District,4773,Douglas High School,Cochise,All,288,326,88.34
2019,4174,Douglas Unified District,4773,Douglas High School,Cochise,Male,140,164,85.37
2019,4174,Douglas Unified District,4773,Douglas High School,Cochise,Female,148,162,91.36
2019,4174,Douglas Unified District,4773,Douglas High School,Cochise,Hispanic or Latino,282,319,88.4
2019,79503,Omega Alpha Academy,79505,Omega Alpha Academy School,Cochise,All,*,*,*
2019,79503,Omega Alpha Academy,79505,Omega Alpha Academy School,Cochise,Female,*,*,*
2019,79503,Omega Alpha Academy,79505,Omega Alpha Academy School,Cochise,Male,*,*,*
2019,79503,Omega Alpha Academy,79505,Omega Alpha Academy School,Cochise,Hispanic or Latino,*,*,*
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5880,PPEP TEC - Colin L. Powell Learning Center,Cochise,All,18,50,36
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5880,PPEP TEC - Colin L. Powell Learning Center,Cochise,Male,*,*,33.33
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5880,PPEP TEC - Colin L. Powell Learning Center,Cochise,Female,11,29,37.93
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5880,PPEP TEC - Colin L. Powell Learning Center,Cochise,Hispanic or Latino,*,*,36.84
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5877,PPEP TEC - Raul H. Castro Learning Center,Cochise,Male,*,*,22.58
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5877,PPEP TEC - Raul H. Castro Learning Center,Cochise,All,11,60,18.33
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5877,PPEP TEC - Raul H. Castro Learning Center,Cochise,Female,*,*,13.79
2019,4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",5877,PPEP TEC - Raul H. Castro Learning Center,Cochise,Hispanic or Latino,11,60,18.33
2019,4172,San Simon Unified District,4760,San Simon School,Cochise,All,13,13,100
2019,4172,San Simon Unified District,4760,San Simon School,Cochise,Female,*,*,*
2019,4172,San Simon Unified District,4760,San Simon School,Cochise,Hispanic or Latino,*,*,*
2019,4172,San Simon Unified District,4760,San Simon School,Cochise,Male,*,*,*
2019,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,All,425,465,91.4
2019,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Hispanic or Latino,154,169,91.12
2019,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Female,205,221,92.76
2019,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Male,220,244,90.16
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,Cochise,All,*,*,*
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,Cochise,Male,*,*,*
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,Cochise,Female,*,*,*
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,Cochise,Hispanic or Latino,*,*,*
2019,4173,St David Unified District,4762,St David High School,Cochise,All,17,17,100
2019,4173,St David Unified District,4762,St David High School,Cochise,Hispanic or Latino,*,*,*
2019,4173,St David Unified District,4762,St David High School,Cochise,Female,*,*,*
2019,4173,St David Unified District,4762,St David High School,Cochise,Male,*,*,*
2019,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,All,61,67,91.04
2019,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Male,25,28,89.29
2019,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Female,36,39,92.31
2019,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Hispanic or Latino,19,19,100
2019,4190,Valley Union High School District,4800,Valley Union High School,Cochise,All,25,26,96.15
2019,4190,Valley Union High School District,4800,Valley Union High School,Cochise,Hispanic or Latino,*,*,*
2019,4190,Valley Union High School District,4800,Valley Union High School,Cochise,Male,13,14,92.86
2019,4190,Valley Union High School District,4800,Valley Union High School,Cochise,Female,12,12,100
2019,4170,Willcox Unified District,4757,Willcox High School,Cochise,All,87,97,89.69
2019,4170,Willcox Unified District,4757,Willcox High School,Cochise,Hispanic or Latino,57,64,89.06
2019,4170,Willcox Unified District,4757,Willcox High School,Cochise,Male,43,45,95.56
2019,4170,Willcox Unified District,4757,Willcox High School,Cochise,Female,44,52,84.62
2019,90862,"BASIS Charter Schools, Inc.",90863,BASIS Flagstaff,Coconino,All,41,41,100
2019,90862,"BASIS Charter Schools, Inc.",90863,BASIS Flagstaff,Coconino,Hispanic or Latino,*,*,*
2019,90862,"BASIS Charter Schools, Inc.",90863,BASIS Flagstaff,Coconino,Female,24,24,100
2019,90862,"BASIS Charter Schools, Inc.",90863,BASIS Flagstaff,Coconino,Male,17,17,100
2019,10386,Coconino County Accommodation School District,79010,Jail - Coconino County Accommodation School District,Coconino,All,*,*,*
2019,10386,Coconino County Accommodation School District,79010,Jail - Coconino County Accommodation School District,Coconino,Hispanic or Latino,*,*,*
2019,10386,Coconino County Accommodation School District,79010,Jail - Coconino County Accommodation School District,Coconino,Male,*,*,*
2019,10386,Coconino County Accommodation School District,78915,Juvenile Detention,Coconino,Male,*,*,*
2019,10386,Coconino County Accommodation School District,78915,Juvenile Detention,Coconino,Female,*,*,*
2019,10386,Coconino County Accommodation School District,78915,Juvenile Detention,Coconino,All,*,*,*
2019,10386,Coconino County Accommodation School District,85842,Ponderosa High School,Coconino,All,45,60,75
2019,10386,Coconino County Accommodation School District,85842,Ponderosa High School,Coconino,Male,24,35,68.57
2019,10386,Coconino County Accommodation School District,85842,Ponderosa High School,Coconino,Female,21,25,84
2019,10386,Coconino County Accommodation School District,85842,Ponderosa High School,Coconino,Hispanic or Latino,13,18,72.22
2019,10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,Coconino,All,19,29,65.52
2019,10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,Coconino,Female,12,16,75
2019,10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,Coconino,Male,*,*,53.85
2019,10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,Coconino,Hispanic or Latino,*,*,*
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Coconino,All,39,41,95.12
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Coconino,Male,13,14,92.86
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Coconino,Female,26,27,96.3
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Coconino,Hispanic or Latino,*,*,*
2019,4192,Flagstaff Unified District,4820,Coconino High School,Coconino,All,249,302,82.45
2019,4192,Flagstaff Unified District,4820,Coconino High School,Coconino,Male,133,167,79.64
2019,4192,Flagstaff Unified District,4820,Coconino High School,Coconino,Female,116,135,85.93
2019,4192,Flagstaff Unified District,4820,Coconino High School,Coconino,Hispanic or Latino,79,92,85.87
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,Coconino,Hispanic or Latino,67,69,97.1
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,Coconino,All,364,384,94.79
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,Coconino,Female,174,181,96.13
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,Coconino,Male,190,203,93.6
2019,4192,Flagstaff Unified District,230656,Northern Arizona Distance Learning,Coconino,All,*,*,*
2019,4192,Flagstaff Unified District,230656,Northern Arizona Distance Learning,Coconino,Male,*,*,*
2019,4192,Flagstaff Unified District,230656,Northern Arizona Distance Learning,Coconino,Hispanic or Latino,*,*,*
2019,4192,Flagstaff Unified District,4803,Summit High School,Coconino,All,37,57,64.91
2019,4192,Flagstaff Unified District,4803,Summit High School,Coconino,Female,20,28,71.43
2019,4192,Flagstaff Unified District,4803,Summit High School,Coconino,Male,17,29,58.62
2019,4192,Flagstaff Unified District,4803,Summit High School,Coconino,Hispanic or Latino,12,20,60
2019,4195,Fredonia-Moccasin Unified District,4828,Fredonia High School,Coconino,All,18,22,81.82
2019,4195,Fredonia-Moccasin Unified District,4828,Fredonia High School,Coconino,Female,*,*,*
2019,4195,Fredonia-Moccasin Unified District,4828,Fredonia High School,Coconino,Male,*,*,76.92
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,Coconino,Male,*,*,90.91
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,Coconino,Female,12,12,100
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,Coconino,All,22,23,95.65
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,Coconino,Hispanic or Latino,*,*,*
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Coconino,All,75,76,98.68
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Coconino,Female,34,34,100
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Coconino,Male,41,42,97.62
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Coconino,Hispanic or Latino,*,*,*
2019,4196,Page Unified District,92913,Manson Mesa High School,Coconino,Male,*,*,20
2019,4196,Page Unified District,92913,Manson Mesa High School,Coconino,All,*,*,24
2019,4196,Page Unified District,92913,Manson Mesa High School,Coconino,Female,*,*,*
2019,4196,Page Unified District,92913,Manson Mesa High School,Coconino,Hispanic or Latino,*,*,*
2019,4196,Page Unified District,4832,Page High School,Coconino,All,152,169,89.94
2019,4196,Page Unified District,4832,Page High School,Coconino,Female,84,87,96.55
2019,4196,Page Unified District,4832,Page High School,Coconino,Male,68,82,82.93
2019,4196,Page Unified District,4832,Page High School,Coconino,Hispanic or Latino,*,*,*
2019,4197,Tuba City Unified School District #15,78916,Nizhoni Accelerated Academy,Coconino,All,*,*,58.82
2019,4197,Tuba City Unified School District #15,78916,Nizhoni Accelerated Academy,Coconino,Female,*,*,*
2019,4197,Tuba City Unified School District #15,78916,Nizhoni Accelerated Academy,Coconino,Male,*,*,*
2019,4197,Tuba City Unified School District #15,4838,Tuba City High School,Coconino,All,107,138,77.54
2019,4197,Tuba City Unified School District #15,4838,Tuba City High School,Coconino,Male,43,62,69.35
2019,4197,Tuba City Unified School District #15,4838,Tuba City High School,Coconino,Female,64,76,84.21
2019,4193,Williams Unified District,4823,Williams High School,Coconino,All,40,42,95.24
2019,4193,Williams Unified District,4823,Williams High School,Coconino,Male,19,21,90.48
2019,4193,Williams Unified District,4823,Williams High School,Coconino,Female,21,21,100
2019,4193,Williams Unified District,4823,Williams High School,Coconino,Hispanic or Latino,18,19,94.74
2019,4208,Globe Unified District,4855,Globe High School,Gila,All,123,137,89.78
2019,4208,Globe Unified District,4855,Globe High School,Gila,Female,62,69,89.86
2019,4208,Globe Unified District,4855,Globe High School,Gila,Male,61,68,89.71
2019,4208,Globe Unified District,4855,Globe High School,Gila,Hispanic or Latino,30,33,90.91
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,Gila,All,16,17,94.12
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,Gila,Hispanic or Latino,13,13,100
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,Gila,Female,*,*,*
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,Gila,Male,*,*,*
2019,4216,Liberty High School,4878,Liberty High School,Gila,Male,*,*,50
2019,4216,Liberty High School,4878,Liberty High School,Gila,All,*,*,50
2019,4216,Liberty High School,4878,Liberty High School,Gila,Female,*,*,*
2019,4216,Liberty High School,4878,Liberty High School,Gila,Hispanic or Latino,*,*,*
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,Gila,Female,27,31,87.1
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,Gila,All,50,59,84.75
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,Gila,Hispanic or Latino,28,33,84.85
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,Gila,Male,23,28,82.14
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,Gila,All,*,*,*
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,Gila,Male,*,*,*
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,Gila,Female,*,*,*
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,Gila,Hispanic or Latino,*,*,*
